Raman Shift / Pixel,Intensity
1437.9443298969072,3358.6
1437.050085910653,3348.5
1436.1558419243988,3388.3
1435.2615979381444,3346.4
1434.36735395189,3417.1
1433.473109965636,3375.9
1432.5788659793816,3319.3
1431.6846219931272,3338.3
1430.790378006873,3348.2
1429.8961340206188,3356.4
1429.0018900343644,3369.5
1428.10764604811,3322.8
1427.2134020618557,3351.0
1426.3191580756015,3352.7
1425.424914089347,3352.6
1424.530670103093,3407.9
1423.6364261168387,3336.8
1422.7421821305843,3365.7
1421.8479381443299,3344.2
1420.9536941580757,3340.9
1420.0594501718215,3368.5
1419.165206185567,3391.3
1418.2709621993129,3339.5
1417.3767182130587,3355.8
1416.4824742268042,3355.9
1415.5882302405498,3375.8
1414.6939862542956,3338.1
1413.7997422680414,3371.5
1412.905498281787,3371.3
1412.0112542955326,3344.3
1411.1170103092786,3342.0
1410.2227663230242,3348.4
1409.3285223367698,3327.1
1408.4342783505156,3337.5
1407.5400343642614,3375.4
1406.645790378007,3350.9
1405.7515463917525,3346.1
1404.8573024054983,3359.6
1403.9630584192441,3357.1
1403.0688144329897,3392.6
1402.1745704467355,3364.1
1401.2803264604813,3335.9
1400.386082474227,3370.8
1399.4918384879725,3331.5
1398.5975945017183,3392.5
1397.703350515464,3373.9
1396.8091065292097,3369.3
1395.9148625429555,3369.5
1395.0206185567013,3336.9
1394.1263745704468,3352.2
1393.2321305841924,3353.0
1392.3378865979382,3384.4
1391.443642611684,3377.8
1390.5493986254296,3336.8
1389.6551546391754,3351.2
1388.7609106529212,3337.1
1387.8666666666668,3325.3
1386.9724226804124,3355.6
1386.0781786941582,3361.5
1385.183934707904,3340.7
1384.2896907216495,3367.7
1383.3954467353951,3367.0
1382.5012027491412,3358.0
1381.6069587628867,3356.0
1380.7127147766323,3347.1
1379.8184707903781,3359.2
1378.924226804124,3343.0
1378.0299828178695,3338.4
1377.135738831615,3380.6
1376.2414948453609,3372.2
1375.3472508591067,3408.1
1374.4530068728523,3360.6
1373.558762886598,3365.2
1372.6645189003439,3365.5
1371.7702749140894,3387.7
1370.876030927835,3417.5
1369.9817869415808,3372.8
1369.0875429553266,3404.2
1368.1932989690722,3366.6
1367.299054982818,3386.3
1366.4048109965638,3351.2
1365.5105670103094,3395.5
1364.616323024055,3363.6
1363.7220790378008,3400.3
1362.8278350515466,3402.0
1361.9335910652921,3407.6
1361.039347079038,3364.5
1360.1451030927838,3364.9
1359.2508591065293,3402.9
1358.356615120275,3363.2
1357.4623711340207,3348.8
1356.5681271477665,3374.6
1355.673883161512,3372.0
1354.7796391752577,3374.6
1353.8853951890037,3386.8
1352.9911512027493,3392.9
1352.0969072164949,3379.5
1351.2026632302407,3404.2
1350.3084192439865,3365.9
1349.414175257732,3369.2
1348.5199312714776,3370.5
1347.6256872852234,3354.5
1346.7314432989692,3368.9
1345.8371993127148,3355.3
1344.9429553264606,3349.8
1344.0487113402064,3349.8
1343.154467353952,3338.5
1342.2602233676976,3345.3
1341.3659793814434,3340.5
1340.4717353951892,3365.4
1339.5774914089347,3362.8
1338.6832474226806,3379.8
1337.7890034364264,3351.5
1336.894759450172,3352.5
1336.0005154639175,3372.5
1335.1062714776633,3345.8
1334.2120274914091,3367.5
1333.3177835051547,3336.8
1332.4235395189005,3351.2
1331.5292955326463,3352.4
1330.6350515463919,3350.9
1329.7408075601375,3341.6
1328.8465635738833,3357.1
